City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Port Elizabeth,ZA,2021-11-01 01:05:29,-33.918,25.5701,64.09,100,75,18.41
88,Mikhaylovskoye,RU,2021-11-01 01:06:15,51.8239,79.7172,28.13,77,100,9.44
89,Coihaique,CL,2021-11-01 01:01:30,-45.5752,-72.0662,50.49,68,70,1.92
90,Arti,RU,2021-11-01 01:06:16,56.4234,58.5328,42.1,95,100,10.98
91,Dolores,AR,2021-11-01 01:06:17,-36.3132,-57.6792,53.82,81,100,8.48
92,Erdenet,MN,2021-11-01 01:01:48,49.0333,104.0833,30.87,55,100,4.83
93,Awjilah,LY,2021-11-01 01:06:18,29.1081,21.2869,65.16,85,42,7.52
94,Sao Filipe,CV,2021-11-01 01:06:19,14.8961,-24.4956,79.39,78,99,6.46
95,Victoria,HK,2021-11-01 01:02:22,22.2855,114.1577,78.04,81,37,11.01
96,Kemijarvi,FI,2021-11-01 01:06:20,66.7131,27.4306,35.26,98,100,7.9
97,Dharchula,IN,2021-11-01 01:06:21,29.85,80.5333,52.36,47,0,5.88
98,Shiyan,CN,2021-11-01 01:06:22,32.6475,110.7781,58.84,69,100,7.81
99,Salinas,US,2021-11-01 01:04:32,36.6777,-121.6555,63.86,68,1,6.91
100,Eureka,US,2021-11-01 01:06:23,40.8021,-124.1637,61.63,75,100,1.01
101,Tuatapere,NZ,2021-11-01 01:02:57,-46.1333,167.6833,55.31,70,97,10.65
102,Waipawa,NZ,2021-11-01 01:03:18,-41.4122,175.5153,61.93,68,78,3.24
103,Atuona,PF,2021-11-01 01:06:25,-9.8,-139.0333,78.66,73,0,17.36
104,Kibala,TD,2021-11-01 01:06:26,9.1104,18.3463,76.26,55,98,2.77
105,Albany,US,2021-11-01 00:58:53,42.6001,-73.9662,55.74,80,100,10.38
106,Villablino,ES,2021-11-01 01:06:27,42.9393,-6.3194,50.99,93,100,6.2
107,Urucara,BR,2021-11-01 01:06:28,-2.5364,-57.76,76.84,82,21,2.59
108,Shu,KZ,2021-11-01 01:06:29,43.5983,73.7614,40.24,67,82,2.73
109,Bambous Virieux,MU,2021-11-01 01:03:58,-20.3428,57.7575,70.21,88,40,3.44
110,Fortuna,US,2021-11-01 01:04:07,40.5982,-124.1573,61.36,68,90,1.01
111,Ballitoville,ZA,2021-11-01 01:06:30,-29.539,31.2144,65.25,85,28,6.13
112,Luderitz,NA,2021-11-01 01:06:31,-26.6481,15.1594,61.61,69,100,7.49
113,Broome,US,2021-11-01 01:06:32,42.2506,-75.833,54.01,78,40,4.0
114,Lang Son,VN,2021-11-01 01:06:32,21.8333,106.7333,64.02,97,100,4.94
115,Cherskiy,RU,2021-11-01 01:06:33,68.75,161.3,-0.06,97,100,5.79
116,Port-Gentil,GA,2021-11-01 01:05:27,-0.7193,8.7815,78.3,87,100,15.32
117,Anadyr,RU,2021-11-01 01:06:36,64.75,177.4833,-5.01,76,66,15.01
118,Bose,IT,2021-11-01 01:06:36,45.4612,8.0137,49.73,97,100,0.67
119,Dumas,US,2021-11-01 01:06:37,35.8656,-101.9732,51.66,43,1,10.36
120,Llanes,ES,2021-11-01 01:06:38,43.4198,-4.7549,58.89,86,100,20.2
121,Vinzili,RU,2021-11-01 01:06:38,56.9594,65.7708,37.71,95,100,8.46
122,Villazon,BO,2021-11-01 01:06:39,-22.0866,-65.5942,52.16,64,3,7.7
