City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
374,San Cristobal,VE,71.78,scattered clouds,7.7669,-72.225,Pirineos
375,Qazvin,IR,60.42,broken clouds,36.2797,50.0049,MarMar Hotel
378,Savonlinna,FI,30.25,clear sky,61.8699,28.88,Spahotel Casino
379,Labrea,BR,77.76,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
380,Carballo,ES,61.43,broken clouds,43.213,-8.691,Pazo do Souto
381,Buala,SB,79.14,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
382,Hirara,JP,67.82,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
384,Makat,KZ,31.03,light snow,47.6469,53.3463,Umit
386,Oudtshoorn,ZA,70.16,clear sky,-33.5907,22.2014,Earthbound Guest House
387,Rocha,UY,74.17,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
388,Manbij,SY,48.76,overcast clouds,36.5281,37.9549,Manbej City Hotel
389,Allonnes,FR,57.24,broken clouds,47.9674,0.1581,ibis Styles Le Mans Centre Gare
390,Codrington,AU,55.11,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
391,Tubuala,PA,80.83,few clouds,9.5167,-79.0333,Río Nabagana
394,Sarangani,PH,82.49,broken clouds,5.4033,125.4636,Ballistic Islet
395,Lilongwe,MW,68.79,light rain,-13.9669,33.7873,Spendwise furnished apartments.
396,Pochutla,MX,87.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
397,Banjar,ID,78.19,overcast clouds,-8.19,114.9675,The Hamsa Resort
400,Simdega,IN,74.5,broken clouds,22.6167,84.5167,Circuit House
401,Lima,PE,75.38,scattered clouds,-12.0432,-77.0282,Hotel Kamana
403,Santa Maria,BR,76.3,moderate rain,-29.6842,-53.8069,Hotel Morotin
404,Gawler,AU,63.48,few clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
405,Gat,IL,59.81,few clouds,31.61,34.7642,OlusHome
407,Zhanakorgan,KZ,50.76,overcast clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
408,Pasighat,IN,73.44,clear sky,28.0667,95.3333,Siang Guest House
409,Mbulu,TZ,65.52,broken clouds,-3.85,35.5333,Pasila Lodge
410,Kiunga,PG,71.53,moderate rain,-6.1219,141.2906,Airport Lodge Kiunga
411,Clarksburg,US,46.31,broken clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
412,Solo,PH,77.38,overcast clouds,13.7469,120.9012,King Solomon Dive Resort
414,Male,MV,84.15,few clouds,4.1748,73.5089,Hotel Octave Maldives
416,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
417,Middelburg,ZA,74.55,overcast clouds,-25.7751,29.4648,Oregon Place Guest House
